model_lm,index,epoch,spec,model,n,ll,delta_ll,b_surprisal,p_surprisal,response
german-gpt2,1,0.131,covariates,prompted,109404,-826140.1507774062,4989.693471584702,25.486645260829548,0.0,raw_rt
german-gpt2,2,0.262,covariates,prompted,109404,-826140.1507774062,4989.693471584702,25.486645260829548,0.0,raw_rt
german-gpt2,3,0.394,covariates,prompted,109404,-826140.1507774062,4989.693471584702,25.486645260829548,0.0,raw_rt
german-gpt2,0,0.0,covariates,prompted_level,109404,-825975.0484941521,5154.795754838735,25.582620201421484,0.0,raw_rt
german-gpt2,1,0.131,covariates,prompted_level,109404,-825975.0484941521,5154.795754838735,25.582620201421484,0.0,raw_rt
german-gpt2,2,0.262,covariates,prompted_level,109404,-825975.0484941521,5154.795754838735,25.582620201421484,0.0,raw_rt
german-gpt2,3,0.394,covariates,prompted_level,109404,-825975.0484941521,5154.795754838735,25.582620201421484,0.0,raw_rt
german-gpt2,0,0.0,covariates,aligned,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,1,0.131,covariates,aligned,109404,-97962.91172741423,2336.8964008310577,0.022805267975539608,0.0,log_rt
german-gpt2,2,0.262,covariates,aligned,109404,-97930.47735816729,2369.3307700779987,0.022843631041384517,0.0,log_rt
german-gpt2,3,0.394,covariates,aligned,109404,-97951.62063905387,2348.1874891914194,0.022735740692885198,0.0,log_rt
german-gpt2,0,0.0,covariates,baseline,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,1,0.131,covariates,baseline,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,2,0.262,covariates,baseline,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,3,0.394,covariates,baseline,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,0,0.0,covariates,biology,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,1,0.131,covariates,biology,109404,-98104.44753513345,2195.3605931118364,0.02265584574536777,0.0,log_rt
german-gpt2,2,0.262,covariates,biology,109404,-98131.80217415013,2168.0059540951625,0.02235087922269349,0.0,log_rt
german-gpt2,3,0.394,covariates,biology,109404,-98135.76882522856,2164.0393030167324,0.02241096016261741,0.0,log_rt
german-gpt2,0,0.0,covariates,physics,109404,-98295.52325544134,2004.2848728039535,0.020299360114098438,0.0,log_rt
german-gpt2,1,0.131,covariates,physics,109404,-98107.26836866233,2192.5397595829563,0.021415448943201156,0.0,log_rt
german-gpt2,2,0.262,covariates,physics,109404,-98073.27446898993,2226.533659255365,0.021530307281524663,0.0,log_rt
german-gpt2,3,0.394,covariates,physics,109404,-98098.8715568512,2200.9365713940933,0.021299049243528313,0.0,log_rt
german-gpt2,0,0.0,covariates,prompted,109404,-98212.9740874113,2086.8340408339864,0.020966361445191123,0.0,log_rt
german-gpt2,1,0.131,covariates,prompted,109404,-98212.9740874113,2086.8340408339864,0.020966361445191123,0.0,log_rt
german-gpt2,2,0.262,covariates,prompted,109404,-98212.9740874113,2086.8340408339864,0.020966361445191123,0.0,log_rt
german-gpt2,3,0.394,covariates,prompted,109404,-98212.9740874113,2086.8340408339864,0.020966361445191123,0.0,log_rt
german-gpt2,0,0.0,covariates,prompted_level,109404,-98145.53683892253,2154.271289322758,0.0210466368703579,0.0,log_rt
german-gpt2,1,0.131,covariates,prompted_level,109404,-98145.53683892253,2154.271289322758,0.0210466368703579,0.0,log_rt
german-gpt2,2,0.262,covariates,prompted_level,109404,-98145.53683892253,2154.271289322758,0.0210466368703579,0.0,log_rt
german-gpt2,3,0.394,covariates,prompted_level,109404,-98145.53683892253,2154.271289322758,0.0210466368703579,0.0,log_rt
german-gpt2,0,0.0,full,aligned,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
german-gpt2,1,0.131,full,aligned,109404,-821060.6519862002,4885.52444828162,14.956311603936573,2.3550933501508962e-234,raw_rt
german-gpt2,2,0.262,full,aligned,109404,-820972.8890380027,4973.287396479165,14.817806800209924,9.379839442609491e-234,raw_rt
german-gpt2,3,0.394,full,aligned,109404,-821071.129911428,4875.0465230538975,14.555917149150709,3.3012415019558987e-226,raw_rt
german-gpt2,0,0.0,full,baseline,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
german-gpt2,1,0.131,full,baseline,109404,-821827.9623363131,4118.21409816877,13.122796175385357,1.0260714014341175e-203,raw_rt
