model,group,layer,feature,attention_method,spearman,p,n
physics-ckpt1,novices,10,TFC,raw,0.45931440752240615,1.602470837810701e-89,1701
physics-ckpt1,novices,10,pca,raw,0.4175458634194813,1.1720752076337176e-72,1699
physics-ckpt1,novices,11,FPRT,raw,0.6059421384361838,7.918376991729289e-171,1699
physics-ckpt1,novices,11,TFT,raw,0.603059925105961,5.341152749847923e-169,1701
physics-ckpt1,novices,11,FFD,raw,0.5643737369078538,1.6638977683417564e-143,1699
physics-ckpt1,novices,11,SFD,raw,0.5444594483956284,9.460761267213462e-130,1673
physics-ckpt1,novices,11,RPD_inc,raw,0.47451268300805166,4.029343533701861e-96,1699
physics-ckpt1,novices,11,TFC,raw,0.6131675372324792,3.335837941234787e-176,1701
physics-ckpt1,novices,11,pca,raw,0.5714454502624149,7.025604762818071e-148,1699
biology-ckpt1,experts,0,FPRT,raw,0.6316964074367872,1.1423534584687155e-189,1697
biology-ckpt1,experts,0,TFT,raw,0.5883883960616252,5.452308398795423e-159,1701
biology-ckpt1,experts,0,FFD,raw,0.6692292368384058,6.96509398424868e-221,1697
biology-ckpt1,experts,0,SFD,raw,0.664369091174925,2.554796835432931e-215,1687
biology-ckpt1,experts,0,RPD_inc,raw,0.4990830957301759,1.4192447127128017e-107,1697
biology-ckpt1,experts,0,TFC,raw,0.6102674827759463,4.1396484024474e-174,1701
biology-ckpt1,experts,0,pca,raw,0.5553706330372918,6.30650728410826e-138,1697
biology-ckpt1,experts,1,FPRT,raw,0.4833024445786074,4.867125860767744e-100,1697
biology-ckpt1,experts,1,TFT,raw,0.3368846000652245,2.060934142428709e-46,1701
biology-ckpt1,experts,1,FFD,raw,0.7019896817897697,3.8700566370061155e-252,1697
biology-ckpt1,experts,1,SFD,raw,0.6782479417875725,9.658129275693685e-228,1687
biology-ckpt1,experts,1,RPD_inc,raw,0.3458049692667864,7.42737707725212e-49,1697
biology-ckpt1,experts,1,TFC,raw,0.3569128215252718,2.888033597650271e-52,1701
biology-ckpt1,experts,1,pca,raw,0.35989923144748637,4.6971538452307455e-53,1697
biology-ckpt1,experts,2,FPRT,raw,0.3874986234595958,6.5001120400406106e-62,1697
biology-ckpt1,experts,2,TFT,raw,0.25647419692038537,5.9038279574258125e-27,1701
biology-ckpt1,experts,2,FFD,raw,0.5648803336084224,1.1979380091817605e-143,1697
biology-ckpt1,experts,2,SFD,raw,0.5445420400609562,7.217737329944873e-131,1687
biology-ckpt1,experts,2,RPD_inc,raw,0.28722451824770573,1.3669361451003611e-33,1697
biology-ckpt1,experts,2,TFC,raw,0.27155159462457606,3.883979719280592e-30,1701
biology-ckpt1,experts,2,pca,raw,0.2787074972155873,1.1944933245246468e-31,1697
biology-ckpt1,experts,3,FPRT,raw,0.3353237544455429,7.187218402968995e-46,1697
biology-ckpt1,experts,3,TFT,raw,0.22079908932242379,3.150574297600712e-20,1701
biology-ckpt1,experts,3,FFD,raw,0.5186912864257559,1.664171698561333e-117,1697
biology-ckpt1,experts,3,SFD,raw,0.49863138295542775,9.892484584435087e-107,1687
biology-ckpt1,experts,3,RPD_inc,raw,0.26056355427903816,9.7729899116145e-28,1697
biology-ckpt1,experts,3,TFC,raw,0.2376181947575286,2.915283094295567e-23,1701
biology-ckpt1,experts,3,pca,raw,0.23591747601480248,6.803725722383737e-23,1697
biology-ckpt1,experts,4,FPRT,raw,0.39595247962513946,8.39280881101304e-65,1697
biology-ckpt1,experts,4,TFT,raw,0.28999827149643753,2.5821206579695046e-34,1701
biology-ckpt1,experts,4,FFD,raw,0.5351337055199267,2.3857973312863213e-126,1697
biology-ckpt1,experts,4,SFD,raw,0.5200388517078857,1.586897022269033e-117,1687
biology-ckpt1,experts,4,RPD_inc,raw,0.31430830062255843,3.1826384791271954e-40,1697
biology-ckpt1,experts,4,TFC,raw,0.30499055410878556,6.020093336281288e-38,1701
biology-ckpt1,experts,4,pca,raw,0.3088663900516173,7.811116411842187e-39,1697
biology-ckpt1,experts,5,FPRT,raw,0.2363649056666634,5.617853891269186e-23,1697
biology-ckpt1,experts,5,TFT,raw,0.10882369161807263,6.849875832035711e-06,1701
biology-ckpt1,experts,5,FFD,raw,0.4448536394549988,2.9793030930184593e-83,1697
biology-ckpt1,experts,5,SFD,raw,0.423484734435421,2.2050696085911353e-74,1687
biology-ckpt1,experts,5,RPD_inc,raw,0.15748689015766373,6.864566916375645e-11,1697
biology-ckpt1,experts,5,TFC,raw,0.12796257645416653,1.1869945822174047e-07,1701
biology-ckpt1,experts,5,pca,raw,0.13794373514117203,1.1589714193704538e-08,1697
biology-ckpt1,experts,6,FPRT,raw,0.4236755761128526,6.922309289431181e-75,1697
biology-ckpt1,experts,6,TFT,raw,0.33462261453672804,8.882749692057833e-46,1701
biology-ckpt1,experts,6,FFD,raw,0.5557151232959058,3.9423236399131923e-138,1697
biology-ckpt1,experts,6,SFD,raw,0.5391332199317054,7.920280404409139e-128,1687
biology-ckpt1,experts,6,RPD_inc,raw,0.3184634931751683,2.6408755808332483e-41,1697
biology-ckpt1,experts,6,TFC,raw,0.35509009141577647,1.0258686882675897e-51,1701
biology-ckpt1,experts,6,pca,raw,0.3375607848419516,1.6941416088418567e-46,1697
biology-ckpt1,experts,7,FPRT,raw,0.4301625043515964,2.1910204029484838e-77,1697
biology-ckpt1,experts,7,TFT,raw,0.374566811589672,8.695340971773571e-58,1701
biology-ckpt1,experts,7,FFD,raw,0.49393433001476167,4.5093422150687345e-105,1697
biology-ckpt1,experts,7,SFD,raw,0.47488002228866927,1.2777523609393859e-95,1687
biology-ckpt1,experts,7,RPD_inc,raw,0.35520916624455945,1.2385026722358204e-51,1697
biology-ckpt1,experts,7,TFC,raw,0.3910007749279192,3.0319466798765934e-63,1701
biology-ckpt1,experts,7,pca,raw,0.36270751137877866,6.448219338620591e-54,1697
biology-ckpt1,experts,8,FPRT,raw,0.4381463576652508,1.5430464520543526e-80,1697
biology-ckpt1,experts,8,TFT,raw,0.38577261367186977,1.7863530036741507e-61,1701
biology-ckpt1,experts,8,FFD,raw,0.5123791586795602,3.0840987909577325e-114,1697
biology-ckpt1,experts,8,SFD,raw,0.500167755503126,1.76174279765619e-107,1687
biology-ckpt1,experts,8,RPD_inc,raw,0.34909973935228306,8.097459312837252e-50,1697
biology-ckpt1,experts,8,TFC,raw,0.4076098617256477,4.3784501230452845e-69,1701
biology-ckpt1,experts,8,pca,raw,0.3674200603748755,2.201497393174493e-55,1697
biology-ckpt1,experts,9,FPRT,raw,0.41122189524872277,3.07618650540258e-70,1697
biology-ckpt1,experts,9,TFT,raw,0.37497443026693383,6.42214929814276e-58,1701
biology-ckpt1,experts,9,FFD,raw,0.4531464396616979,1.078894387982561e-86,1697
biology-ckpt1,experts,9,SFD,raw,0.4345506278195327,1.1865321237882118e-78,1687
biology-ckpt1,experts,9,RPD_inc,raw,0.314554393438247,2.7494178536146717e-40,1697
biology-ckpt1,experts,9,TFC,raw,0.391354134022662,2.2956905674065937e-63,1701
biology-ckpt1,experts,9,pca,raw,0.36490497421886664,1.3445184550985442e-54,1697
biology-ckpt1,experts,10,FPRT,raw,0.4577499038140551,1.2057475391047623e-88,1697
biology-ckpt1,experts,10,TFT,raw,0.43407978702980154,4.194645268297331e-79,1701
biology-ckpt1,experts,10,FFD,raw,0.49384454304285463,4.981577107438731e-105,1697
biology-ckpt1,experts,10,SFD,raw,0.4737477930825132,4.1166917328884795e-95,1687
biology-ckpt1,experts,10,RPD_inc,raw,0.3826463691069426,2.711795873774659e-60,1697
biology-ckpt1,experts,10,TFC,raw,0.4475283407671042,1.5135427358077263e-84,1701
biology-ckpt1,experts,10,pca,raw,0.41663767812373903,3.0968428353475453e-72,1697
biology-ckpt1,experts,11,FPRT,raw,0.6115336509568129,1.2966615470405104e-174,1697
biology-ckpt1,experts,11,TFT,raw,0.6156050671397283,5.577442091083399e-178,1701
biology-ckpt1,experts,11,FFD,raw,0.5502972778168865,5.986612376792808e-135,1697
biology-ckpt1,experts,11,SFD,raw,0.5373163182278149,8.084719952431646e-127,1687
biology-ckpt1,experts,11,RPD_inc,raw,0.4771686670176268,3.245009040872546e-97,1697
biology-ckpt1,experts,11,TFC,raw,0.623884076312179,3.922560922199235e-184,1701
biology-ckpt1,experts,11,pca,raw,0.5792285067089329,1.2170239623740266e-152,1697
biology-ckpt1,novices,0,FPRT,raw,0.6119063104478174,4.3694801794098236e-175,1699
biology-ckpt1,novices,0,TFT,raw,0.5607467777118247,1.8185560234758219e-141,1701
biology-ckpt1,novices,0,FFD,raw,0.660600304212597,1.480401852835561e-213,1699
biology-ckpt1,novices,0,SFD,raw,0.6479632656490815,8.173299494793718e-200,1673
biology-ckpt1,novices,0,RPD_inc,raw,0.46376491043614615,2.399643580189902e-91,1699
biology-ckpt1,novices,0,TFC,raw,0.5910437029714556,9.186786108597429e-161,1701
biology-ckpt1,novices,0,pca,raw,0.5430789432056149,5.944826322337043e-131,1699
biology-ckpt1,novices,1,FPRT,raw,0.4441943779760161,4.44532036856745e-83,1699
biology-ckpt1,novices,1,TFT,raw,0.2855227776796404,2.849139231587828e-33,1701
biology-ckpt1,novices,1,FFD,raw,0.6874183928849535,5.302961298515476e-238,1699
biology-ckpt1,novices,1,SFD,raw,0.6679615813563856,1.1339874657379253e-216,1673
biology-ckpt1,novices,1,RPD_inc,raw,0.2907506965166765,1.8768094175815041e-34,1699
biology-ckpt1,novices,1,TFC,raw,0.31971666007070876,9.957929182243659e-42,1701
biology-ckpt1,novices,1,pca,raw,0.3317649946066065,6.214720823310924e-45,1699
biology-ckpt1,novices,2,FPRT,raw,0.35584171989612295,6.975561536775616e-52,1699
biology-ckpt1,novices,2,TFT,raw,0.20493347323696853,1.3816579373806292e-17,1701
biology-ckpt1,novices,2,FFD,raw,0.5512621862127073,1.1409574240740947e-135,1699
biology-ckpt1,novices,2,SFD,raw,0.5297443799070555,1.1214318062699762e-121,1673
biology-ckpt1,novices,2,RPD_inc,raw,0.2367195297122337,4.5522670627924827e-23,1699
biology-ckpt1,novices,2,TFC,raw,0.23246474282474233,2.6305024887282806e-22,1701
biology-ckpt1,novices,2,pca,raw,0.2518649103260394,5.391796042502325e-26,1699
biology-ckpt1,novices,3,FPRT,raw,0.3009829886361315,6.505538704818504e-37,1699
biology-ckpt1,novices,3,TFT,raw,0.1703104907367482,1.5415556736362707e-12,1701
biology-ckpt1,novices,3,FFD,raw,0.5044629380213018,2.310806713827311e-110,1699
biology-ckpt1,novices,3,SFD,raw,0.48261605641321637,2.461101211450915e-98,1673
biology-ckpt1,novices,3,RPD_inc,raw,0.20897091702615486,3.2186039851981355e-18,1699
biology-ckpt1,novices,3,TFC,raw,0.19886410326762038,1.2465716737034132e-16,1701
biology-ckpt1,novices,3,pca,raw,0.20730529127567063,5.999663049092487e-18,1699
biology-ckpt1,novices,4,FPRT,raw,0.36684843408076623,2.8768421464566372e-55,1699
biology-ckpt1,novices,4,TFT,raw,0.252091770250338,4.545655948096963e-26,1701
biology-ckpt1,novices,4,FFD,raw,0.5236947479957216,2.7666095996837324e-120,1699
biology-ckpt1,novices,4,SFD,raw,0.5018090744802922,2.112924404457691e-107,1673
biology-ckpt1,novices,4,RPD_inc,raw,0.2724164592888404,2.7178392793766417e-30,1699
biology-ckpt1,novices,4,TFC,raw,0.27597498653386343,4.134659173518505e-31,1701
biology-ckpt1,novices,4,pca,raw,0.28683325158929857,1.544848542065541e-33,1699
biology-ckpt1,novices,5,FPRT,raw,0.2010756079511234,5.879186431442105e-17,1699
biology-ckpt1,novices,5,TFT,raw,0.06335534657785297,0.008957257605471875,1701
biology-ckpt1,novices,5,FFD,raw,0.4354105395852574,1.5365606295815653e-79,1699
biology-ckpt1,novices,5,SFD,raw,0.4183404523939861,7.262302297038661e-72,1673
biology-ckpt1,novices,5,RPD_inc,raw,0.11317970185305919,2.914622539010365e-06,1699
biology-ckpt1,novices,5,TFC,raw,0.09084899388678094,0.00017549396252717454,1701
biology-ckpt1,novices,5,pca,raw,0.11100487417923097,4.511389351812453e-06,1699
biology-ckpt1,novices,6,FPRT,raw,0.39779209382461644,1.6177964262164905e-65,1699
biology-ckpt1,novices,6,TFT,raw,0.29803767474696713,3.097871993862119e-36,1701
biology-ckpt1,novices,6,FFD,raw,0.5486820214955207,3.619202871079917e-134,1699
biology-ckpt1,novices,6,SFD,raw,0.5272627543656377,2.3577364007073984e-120,1673
biology-ckpt1,novices,6,RPD_inc,raw,0.27771148348111896,1.839506341535242e-31,1699
biology-ckpt1,novices,6,TFC,raw,0.3261111060630313,1.943970829743237e-43,1701
biology-ckpt1,novices,6,pca,raw,0.3179646628428646,3.205478961795181e-41,1699
biology-ckpt1,novices,7,FPRT,raw,0.41941190050415417,2.3405945062810983e-73,1699
biology-ckpt1,novices,7,TFT,raw,0.3567925860338477,3.1406990307857776e-52,1701
biology-ckpt1,novices,7,FFD,raw,0.4958921242997061,3.8452660408820623e-106,1699
biology-ckpt1,novices,7,SFD,raw,0.47101308539921605,3.9655391254048235e-93,1673
biology-ckpt1,novices,7,RPD_inc,raw,0.32795729915099164,6.871993539306971e-44,1699
biology-ckpt1,novices,7,TFC,raw,0.37701445612191403,1.400180882903074e-58,1701
biology-ckpt1,novices,7,pca,raw,0.36000179596272963,3.8014966727662975e-53,1699
biology-ckpt1,novices,8,FPRT,raw,0.42644856567051503,4.909046143553461e-76,1699
biology-ckpt1,novices,8,TFT,raw,0.36739194437404155,1.679150225070332e-55,1701
biology-ckpt1,novices,8,FFD,raw,0.5107053765961344,1.631937859767526e-113,1699
biology-ckpt1,novices,8,SFD,raw,0.48751273688050434,1.3573489856425087e-100,1673
biology-ckpt1,novices,8,RPD_inc,raw,0.32004505077081424,9.090074387480645e-42,1699
biology-ckpt1,novices,8,TFC,raw,0.39311202039414217,5.724255297402995e-64,1701
biology-ckpt1,novices,8,pca,raw,0.3636435948665317,2.872089205539845e-54,1699
biology-ckpt1,novices,9,FPRT,raw,0.39709199623337194,2.839362592305363e-65,1699
biology-ckpt1,novices,9,TFT,raw,0.3615913441147882,1.074048374812207e-53,1701
biology-ckpt1,novices,9,FFD,raw,0.4511362070123537,5.9816409018966955e-86,1699
biology-ckpt1,novices,9,SFD,raw,0.4316205995546911,7.058710941306934e-77,1673
biology-ckpt1,novices,9,RPD_inc,raw,0.29936452525841745,1.618454022627196e-36,1699
biology-ckpt1,novices,9,TFC,raw,0.379928889318759,1.5591990545329046e-59,1701
biology-ckpt1,novices,9,pca,raw,0.3598325619542913,4.282804607687484e-53,1699
biology-ckpt1,novices,10,FPRT,raw,0.4501409818508668,1.5578861442285787e-85,1699
biology-ckpt1,novices,10,TFT,raw,0.43362569974675685,6.341880667176646e-79,1701
biology-ckpt1,novices,10,FFD,raw,0.4874347033584626,4.305900311520388e-102,1699
biology-ckpt1,novices,10,SFD,raw,0.46445409998982823,2.8460874072547683e-90,1673
biology-ckpt1,novices,10,RPD_inc,raw,0.36921649657831174,5.166579112666131e-56,1699
biology-ckpt1,novices,10,TFC,raw,0.4488379620057768,4.332923629846664e-85,1701
biology-ckpt1,novices,10,pca,raw,0.41787204597468847,8.850736670715657e-73,1699
biology-ckpt1,novices,11,FPRT,raw,0.6125439163658817,1.5128728465617078e-175,1699
biology-ckpt1,novices,11,TFT,raw,0.6207965290829741,8.124658638881066e-182,1701
biology-ckpt1,novices,11,FFD,raw,0.5508994237626668,1.8584341397154988e-135,1699
biology-ckpt1,novices,11,SFD,raw,0.5324771348117776,3.805469495029843e-123,1673
biology-ckpt1,novices,11,RPD_inc,raw,0.4789428777415499,3.862496628098304e-98,1699
biology-ckpt1,novices,11,TFC,raw,0.630556035631104,3.150548931513797e-189,1701
biology-ckpt1,novices,11,pca,raw,0.5884956132876284,7.082486795236931e-159,1699
