model,group,layer,feature,attention_method,spearman,p,n
baseline,experts,8,SFD,raw,0.4831672939822574,2.1315494715975615e-99,1687
baseline,experts,8,RPD_inc,raw,0.36362180968935903,3.363539466149028e-54,1697
baseline,experts,8,TFC,raw,0.43628027586662005,5.608495978062898e-80,1701
baseline,experts,8,pca,raw,0.3897984919678205,1.0847188188013357e-62,1697
baseline,experts,9,FPRT,raw,0.40048808203791864,2.1818838233123788e-66,1697
baseline,experts,9,TFT,raw,0.37356522054484465,1.8275338486427673e-57,1701
baseline,experts,9,FFD,raw,0.4193632639859177,2.9639719648487336e-73,1697
baseline,experts,9,SFD,raw,0.4002095873732499,6.564261826409014e-66,1687
baseline,experts,9,RPD_inc,raw,0.3082269422878456,1.1327181595682592e-38,1697
baseline,experts,9,TFC,raw,0.38650612911738386,1.0128239022128828e-61,1701
baseline,experts,9,pca,raw,0.35768731075884336,2.2131785526301586e-52,1697
baseline,experts,10,FPRT,raw,0.4748675422399993,3.596563466208255e-96,1697
baseline,experts,10,TFT,raw,0.45631644581880404,3.082510429421192e-88,1701
baseline,experts,10,FFD,raw,0.48178645670378867,2.4579954120102695e-99,1697
baseline,experts,10,SFD,raw,0.464546811169856,4.7150007013052964e-91,1687
baseline,experts,10,RPD_inc,raw,0.39795380411799713,1.688665392932062e-65,1697
baseline,experts,10,TFC,raw,0.46559501112495455,2.9697562442891303e-92,1701
baseline,experts,10,pca,raw,0.4327979555344939,2.0390382939891868e-78,1697
baseline,experts,11,FPRT,raw,0.598997178774794,8.665211015339737e-166,1697
baseline,experts,11,TFT,raw,0.6003421766671934,4.178039052188309e-167,1701
baseline,experts,11,FFD,raw,0.5351992115075395,2.1949117529269823e-126,1697
baseline,experts,11,SFD,raw,0.5233203993642345,2.9967149766960105e-119,1687
baseline,experts,11,RPD_inc,raw,0.46839932134028894,2.8180024369477977e-93,1697
baseline,experts,11,TFC,raw,0.6067374918237108,1.3689240257952003e-171,1701
baseline,experts,11,pca,raw,0.56649039566692,1.2337685800309331e-144,1697
baseline,novices,0,FPRT,raw,0.625837463660199,2.1418287044412894e-185,1699
baseline,novices,0,TFT,raw,0.5851331199668796,7.733538245751082e-157,1701
baseline,novices,0,FFD,raw,0.6573110229414665,9.908401051392044e-211,1699
baseline,novices,0,SFD,raw,0.6461999502984507,2.178083369085686e-198,1673
baseline,novices,0,RPD_inc,raw,0.47671839928337667,4.018247922427371e-97,1699
baseline,novices,0,TFC,raw,0.6142211788908787,5.716007593354619e-177,1701
baseline,novices,0,pca,raw,0.5612698263947554,1.2821714428299681e-141,1699
baseline,novices,1,FPRT,raw,0.46363167153358703,2.7433216167991687e-91,1699
baseline,novices,1,TFT,raw,0.3114907454037889,1.3706070685041921e-39,1701
baseline,novices,1,FFD,raw,0.7037590845679456,3.0200419996744995e-254,1699
baseline,novices,1,SFD,raw,0.6867473595705973,9.411583030523309e-234,1673
baseline,novices,1,RPD_inc,raw,0.30275959950031134,2.3761379129297105e-37,1699
baseline,novices,1,TFC,raw,0.34553002123769794,6.91341333990061e-49,1701
baseline,novices,1,pca,raw,0.35255165319715015,6.755059860246637e-51,1699
baseline,novices,2,FPRT,raw,0.37869091444721115,4.639808148955027e-59,1699
baseline,novices,2,TFT,raw,0.23523834881038633,8.104321420822506e-23,1701
baseline,novices,2,FFD,raw,0.5677403620235119,1.4184779689067978e-145,1699
baseline,novices,2,SFD,raw,0.5473866488493081,2.0966843905380015e-131,1673
baseline,novices,2,RPD_inc,raw,0.2550490299048592,1.2324081055440723e-26,1699
baseline,novices,2,TFC,raw,0.2635302957796925,2.0308892461028917e-28,1701
baseline,novices,2,pca,raw,0.2765737875814071,3.29738502159506e-31,1699
baseline,novices,3,FPRT,raw,0.30817952874084786,1.0531289194185511e-38,1699
baseline,novices,3,TFT,raw,0.1775169274743017,1.6480873322475485e-13,1701
baseline,novices,3,FFD,raw,0.5093972159396831,7.559131101038219e-113,1699
baseline,novices,3,SFD,raw,0.4871937478759906,1.9095701789415318e-100,1673
baseline,novices,3,RPD_inc,raw,0.21355653594023605,5.638063784040075e-19,1699
baseline,novices,3,TFC,raw,0.20543911589833994,1.1466723219150848e-17,1701
baseline,novices,3,pca,raw,0.21415403854884746,4.479812333188374e-19,1699
baseline,novices,4,FPRT,raw,0.37480233460473955,8.496959311913524e-58,1699
baseline,novices,4,TFT,raw,0.2624129305288725,3.4867427385479495e-28,1701
baseline,novices,4,FFD,raw,0.5238524746298855,2.2798905341040964e-120,1699
baseline,novices,4,SFD,raw,0.5040372668133357,1.715537322175765e-108,1673
baseline,novices,4,RPD_inc,raw,0.2777323376913976,1.8198851134032947e-31,1699
baseline,novices,4,TFC,raw,0.28505111926991766,3.660194302455131e-33,1701
baseline,novices,4,pca,raw,0.2957519095255637,1.212033200916408e-35,1699
baseline,novices,5,FPRT,raw,0.2054720268405896,1.1834376882954925e-17,1699
baseline,novices,5,TFT,raw,0.07053310038817286,0.003608552216100138,1701
baseline,novices,5,FFD,raw,0.4362917994115164,6.858207429215108e-80,1699
baseline,novices,5,SFD,raw,0.4196562964526537,2.368156225082317e-72,1673
