model,group,feature_set,target,predictor,abs_t
biology-ckpt1,experts,length_freq,FPRT,log_word_length,9.582998860686578
biology-ckpt1,experts,length_freq,FPRT,attention,23.656951964936894
biology-ckpt1,experts,length_freq,TFT,log_word_freq,2.1773971797935348
biology-ckpt1,experts,length_freq,TFT,log_word_length,15.04054910241353
biology-ckpt1,experts,length_freq,TFT,attention,24.127775489343197
biology-ckpt1,experts,length_freq,FFD,log_word_freq,4.527391938388263
biology-ckpt1,experts,length_freq,FFD,log_word_length,0.8180200510616041
biology-ckpt1,experts,length_freq,FFD,attention,24.808112952529388
biology-ckpt1,experts,length_freq,SFD,log_word_freq,4.866508155869432
biology-ckpt1,experts,length_freq,SFD,log_word_length,1.7858212079808238
biology-ckpt1,experts,length_freq,SFD,attention,24.100277104598117
biology-ckpt1,experts,length_freq,RPD_inc,log_word_freq,0.8920249813335103
biology-ckpt1,experts,length_freq,RPD_inc,log_word_length,6.054625537124927
biology-ckpt1,experts,length_freq,RPD_inc,attention,17.54117937601018
biology-ckpt1,experts,length_freq,TFC,log_word_freq,3.3810534901669884
biology-ckpt1,experts,length_freq,TFC,log_word_length,15.886944089148674
biology-ckpt1,experts,length_freq,TFC,attention,25.37267771627282
biology-ckpt1,experts,length_freq,pca,log_word_freq,2.930603185461918
biology-ckpt1,experts,length_freq,pca,log_word_length,12.042138046196614
biology-ckpt1,experts,length_freq,pca,attention,23.359787254428877
biology-ckpt1,novices,length_freq,FPRT,log_word_freq,1.5968729074761512
biology-ckpt1,novices,length_freq,FPRT,log_word_length,11.28549307008044
biology-ckpt1,novices,length_freq,FPRT,attention,19.793730349830497
biology-ckpt1,novices,length_freq,TFT,log_word_freq,0.9308115431943318
biology-ckpt1,novices,length_freq,TFT,log_word_length,14.63004165228049
biology-ckpt1,novices,length_freq,TFT,attention,22.09387924068875
biology-ckpt1,novices,length_freq,FFD,log_word_freq,4.462744987305153
biology-ckpt1,novices,length_freq,FFD,log_word_length,1.4471585066917114
biology-ckpt1,novices,length_freq,FFD,attention,23.23135742541747
biology-ckpt1,novices,length_freq,SFD,log_word_freq,3.871097586029701
biology-ckpt1,novices,length_freq,SFD,log_word_length,1.1449288501371624
biology-ckpt1,novices,length_freq,SFD,attention,22.291249139743236
biology-ckpt1,novices,length_freq,RPD_inc,log_word_freq,1.0812994289026878
biology-ckpt1,novices,length_freq,RPD_inc,log_word_length,7.383501496372235
biology-ckpt1,novices,length_freq,RPD_inc,attention,17.39178773598319
biology-ckpt1,novices,length_freq,TFC,log_word_freq,1.954281238197925
biology-ckpt1,novices,length_freq,TFC,log_word_length,15.239349716755147
biology-ckpt1,novices,length_freq,TFC,attention,23.18727472246319
biology-ckpt1,novices,length_freq,pca,log_word_freq,1.7710718050706147
biology-ckpt1,novices,length_freq,pca,log_word_length,12.498303405023846
biology-ckpt1,novices,length_freq,pca,attention,20.799603560436903
