model_lm,index,epoch,spec,model,n,ll,delta_ll,b_surprisal,p_surprisal
german-gpt2,5,0.33,paper_full,aligned,123821,-106568.44118154421,108.10896091529867,0.019511440302265034,1.3308627256053289e-47
german-gpt2,5,0.33,paper_full,baseline,123821,-106574.94462317243,101.60551928708446,0.01936275904122315,3.485642879531149e-45
german-gpt2,5,0.33,paper_full,graded_aligned,123821,-106572.82376120733,103.72638125218509,0.019011578952053524,1.5767766930489319e-44
german-gpt2,5,0.33,paper_full,prompted,123821,-106570.15182747676,106.39831498275453,0.019310264611953152,3.444988876611209e-45
