text_id,word_index_in_text,surprisal,index,epoch,domain,model,condition
b0,80,9.729374319456069,0.0,0.0,physics,german-gpt2,dapt
b0,81,4.3138627291484894,0.0,0.0,physics,german-gpt2,dapt
b0,82,5.4036598056486715,0.0,0.0,physics,german-gpt2,dapt
b0,83,7.051525913944189,0.0,0.0,physics,german-gpt2,dapt
b0,84,5.206708025602997,0.0,0.0,physics,german-gpt2,dapt
b0,85,15.958583869915188,0.0,0.0,physics,german-gpt2,dapt
b0,86,0.5773416622659604,0.0,0.0,physics,german-gpt2,dapt
b0,87,2.3163706908903503,0.0,0.0,physics,german-gpt2,dapt
b0,88,7.44908042923721,0.0,0.0,physics,german-gpt2,dapt
b0,89,6.2791526243390745,0.0,0.0,physics,german-gpt2,dapt
b0,90,6.820287092181057,0.0,0.0,physics,german-gpt2,dapt
b0,91,3.2275457820511657,0.0,0.0,physics,german-gpt2,dapt
b0,92,0.5560368075349076,0.0,0.0,physics,german-gpt2,dapt
b0,93,1.1877818398321558,0.0,0.0,physics,german-gpt2,dapt
b0,94,2.2646434689903434,0.0,0.0,physics,german-gpt2,dapt
b0,95,2.0628089434440224,0.0,0.0,physics,german-gpt2,dapt
b0,96,13.988486831890334,0.0,0.0,physics,german-gpt2,dapt
b0,97,16.77130247519729,0.0,0.0,physics,german-gpt2,dapt
b0,98,8.687233063802017,0.0,0.0,physics,german-gpt2,dapt
b0,99,0.18947939183966192,0.0,0.0,physics,german-gpt2,dapt
b0,100,0.012947740742495746,0.0,0.0,physics,german-gpt2,dapt
b0,101,16.592211983252394,0.0,0.0,physics,german-gpt2,dapt
b0,102,0.41429347921234216,0.0,0.0,physics,german-gpt2,dapt
b0,103,4.502664023627124,0.0,0.0,physics,german-gpt2,dapt
b0,104,1.2835091891202293,0.0,0.0,physics,german-gpt2,dapt
b0,105,1.8139840862704095,0.0,0.0,physics,german-gpt2,dapt
b0,106,1.5980724228456662,0.0,0.0,physics,german-gpt2,dapt
b0,107,15.758558080029678,0.0,0.0,physics,german-gpt2,dapt
b0,108,0.9221268603764337,0.0,0.0,physics,german-gpt2,dapt
b0,109,5.88498283510419,0.0,0.0,physics,german-gpt2,dapt
b0,110,2.3210335886926514,0.0,0.0,physics,german-gpt2,dapt
b0,111,6.920199381303901,0.0,0.0,physics,german-gpt2,dapt
b0,112,11.495460861249137,0.0,0.0,physics,german-gpt2,dapt
b0,113,5.843026635530302,0.0,0.0,physics,german-gpt2,dapt
b0,114,13.624863564083267,0.0,0.0,physics,german-gpt2,dapt
b0,115,2.8521350004591417,0.0,0.0,physics,german-gpt2,dapt
b0,116,22.786152707533777,0.0,0.0,physics,german-gpt2,dapt
b0,117,4.246758654657489,0.0,0.0,physics,german-gpt2,dapt
b0,118,4.089908413278797,0.0,0.0,physics,german-gpt2,dapt
b0,119,3.968797198645302,0.0,0.0,physics,german-gpt2,dapt
b0,120,9.60246969724561,0.0,0.0,physics,german-gpt2,dapt
b0,121,2.489720775810169,0.0,0.0,physics,german-gpt2,dapt
b0,122,8.877914700362536,0.0,0.0,physics,german-gpt2,dapt
b0,123,2.893685148994342,0.0,0.0,physics,german-gpt2,dapt
b0,124,4.41736243226568,0.0,0.0,physics,german-gpt2,dapt
b0,125,9.620423138151828,0.0,0.0,physics,german-gpt2,dapt
b0,126,10.605535118762424,0.0,0.0,physics,german-gpt2,dapt
b0,127,7.889982032295141,0.0,0.0,physics,german-gpt2,dapt
b0,128,3.909835698519402,0.0,0.0,physics,german-gpt2,dapt
b0,129,10.099840771818439,0.0,0.0,physics,german-gpt2,dapt
b0,130,3.2788000516613,0.0,0.0,physics,german-gpt2,dapt
b0,131,5.376427384780451,0.0,0.0,physics,german-gpt2,dapt
b0,132,7.618207098578585,0.0,0.0,physics,german-gpt2,dapt
b0,133,5.874917722445095,0.0,0.0,physics,german-gpt2,dapt
b0,134,7.19201796099257,0.0,0.0,physics,german-gpt2,dapt
b0,135,3.6758306003106367,0.0,0.0,physics,german-gpt2,dapt
b0,136,18.143629640502603,0.0,0.0,physics,german-gpt2,dapt
b0,137,5.854124332025178,0.0,0.0,physics,german-gpt2,dapt
b0,138,8.68848328093355,0.0,0.0,physics,german-gpt2,dapt
b0,139,2.3802653413735992,0.0,0.0,physics,german-gpt2,dapt
b0,140,3.390049093163718,0.0,0.0,physics,german-gpt2,dapt
b0,141,2.050773927561945,0.0,0.0,physics,german-gpt2,dapt
b0,142,6.018507553919371,0.0,0.0,physics,german-gpt2,dapt
b0,143,4.7685533294446465,0.0,0.0,physics,german-gpt2,dapt
b0,144,5.0406243796647825,0.0,0.0,physics,german-gpt2,dapt
b0,145,1.5733984158916807,0.0,0.0,physics,german-gpt2,dapt
b0,146,16.43519595059827,0.0,0.0,physics,german-gpt2,dapt
b0,147,6.36217208956357,0.0,0.0,physics,german-gpt2,dapt
b0,148,4.033390098691054,0.0,0.0,physics,german-gpt2,dapt
b1,2,16.672805805169123,0.0,0.0,physics,german-gpt2,dapt
b1,3,27.199673995635084,0.0,0.0,physics,german-gpt2,dapt
b1,4,46.168933868828745,0.0,0.0,physics,german-gpt2,dapt
b1,5,18.647589026464683,0.0,0.0,physics,german-gpt2,dapt
b1,6,37.16081282332448,0.0,0.0,physics,german-gpt2,dapt
b1,7,7.3741606589377495,0.0,0.0,physics,german-gpt2,dapt
b1,8,8.87385143825325,0.0,0.0,physics,german-gpt2,dapt
b1,9,0.12083602089428316,0.0,0.0,physics,german-gpt2,dapt
b1,10,3.3849838601305065,0.0,0.0,physics,german-gpt2,dapt
b1,11,6.213452499987068,0.0,0.0,physics,german-gpt2,dapt
b1,12,6.568051145050231,0.0,0.0,physics,german-gpt2,dapt
b1,13,15.916808596090007,0.0,0.0,physics,german-gpt2,dapt
b1,14,5.207924974840502,0.0,0.0,physics,german-gpt2,dapt
b1,15,10.58653653928691,0.0,0.0,physics,german-gpt2,dapt
b1,16,2.187216879571907,0.0,0.0,physics,german-gpt2,dapt
b1,17,23.141767447596067,0.0,0.0,physics,german-gpt2,dapt
b1,18,32.63921935724749,0.0,0.0,physics,german-gpt2,dapt
b1,19,19.681303820157062,0.0,0.0,physics,german-gpt2,dapt
b1,20,5.736095390460446,0.0,0.0,physics,german-gpt2,dapt
b1,21,20.956769122722456,0.0,0.0,physics,german-gpt2,dapt
b1,22,6.176967412502428,0.0,0.0,physics,german-gpt2,dapt
b1,23,5.656879493542433,0.0,0.0,physics,german-gpt2,dapt
b1,24,15.467795081964374,0.0,0.0,physics,german-gpt2,dapt
b1,25,19.04067463706853,0.0,0.0,physics,german-gpt2,dapt
b1,26,17.253175707048342,0.0,0.0,physics,german-gpt2,dapt
b1,27,2.930941062720149,0.0,0.0,physics,german-gpt2,dapt
b1,28,2.501718801482311,0.0,0.0,physics,german-gpt2,dapt
b1,29,6.784503693911938,0.0,0.0,physics,german-gpt2,dapt
b1,30,14.61973676913141,0.0,0.0,physics,german-gpt2,dapt
b1,31,3.8401672464813865,0.0,0.0,physics,german-gpt2,dapt
b1,32,9.675713668595062,0.0,0.0,physics,german-gpt2,dapt
b1,33,8.502370288250791,0.0,0.0,physics,german-gpt2,dapt
b1,34,8.144525986600545,0.0,0.0,physics,german-gpt2,dapt
b1,35,6.638652774951828,0.0,0.0,physics,german-gpt2,dapt
b1,36,0.04346991293714311,0.0,0.0,physics,german-gpt2,dapt
b1,37,11.067257629464407,0.0,0.0,physics,german-gpt2,dapt
b1,38,9.450042161716505,0.0,0.0,physics,german-gpt2,dapt
b1,39,4.661257481154961,0.0,0.0,physics,german-gpt2,dapt
b1,40,2.1136502687694354,0.0,0.0,physics,german-gpt2,dapt
b1,41,16.591757605088816,0.0,0.0,physics,german-gpt2,dapt
b1,42,5.187966388207873,0.0,0.0,physics,german-gpt2,dapt
b1,43,29.43940973324892,0.0,0.0,physics,german-gpt2,dapt
b1,44,8.287370648823574,0.0,0.0,physics,german-gpt2,dapt
b1,45,7.201629039453387,0.0,0.0,physics,german-gpt2,dapt
b1,46,11.722853430761626,0.0,0.0,physics,german-gpt2,dapt
b1,47,13.75609518892064,0.0,0.0,physics,german-gpt2,dapt
b1,48,7.893976157378779,0.0,0.0,physics,german-gpt2,dapt
b1,49,0.5697415030428868,0.0,0.0,physics,german-gpt2,dapt
b1,50,8.811663199631862,0.0,0.0,physics,german-gpt2,dapt
b1,51,1.9970535987210891,0.0,0.0,physics,german-gpt2,dapt
b1,52,10.434572497001882,0.0,0.0,physics,german-gpt2,dapt
b1,53,2.853774339087166,0.0,0.0,physics,german-gpt2,dapt
b1,54,13.657750435669085,0.0,0.0,physics,german-gpt2,dapt
b1,55,4.007424158063787,0.0,0.0,physics,german-gpt2,dapt
b1,56,19.802868864759432,0.0,0.0,physics,german-gpt2,dapt
b1,57,3.2128560559103696,0.0,0.0,physics,german-gpt2,dapt
b1,58,2.3415565182133036,0.0,0.0,physics,german-gpt2,dapt
b1,59,49.80565215855678,0.0,0.0,physics,german-gpt2,dapt
b1,60,17.281921575244155,0.0,0.0,physics,german-gpt2,dapt
